id;usedForInstruction;usedForItem;status;GroupId;TextCS;TextEN;TextSK
DRAFT;1;0;1;1;Rozpracovaná;Draft;
INSTRUCTION_CHECK;1;0;1;5;Ve zpracování;Processing;
ERROR_1;1;1;1;6;Chybná;Error;
PASSED_E;1;0;1;5;Ve zpracování;Processing;
PARTIALLY_DONE;1;0;1;7;Částečně zpracovaná;Partially processed;
DONE_E;1;0;1;8;Zpracovaná s chybami;Processed with errors;
ERROR_2;1;1;1;6;Chybná;Error;
ERROR_3;1;1;1;6;Chybná;Error;
DELETED;1;1;1;9;Odstraněná;Deleted;
DONE;1;1;1;19;Zrealizovaná;Accomplished;
EDIT;1;1;1;3;Uzamčená;Locked;
ERROR;0;1;1;6;Chybná;Error;
FOR_SIGN;1;1;1;4;Čeká na podpis;Waiting for signature;
IMPORT;1;0;1;;Probíhá import;Import;
LOCK_PROC;1;0;1;3;Uzamčená;Locked;
NEW;0;1;1;2;Nová;New;
PASSED;1;1;1;5;Ve zpracování;Processing;
PASSING;1;1;1;5;Ve zpracování;Processing;
VERIFIED;1;1;1;5;Ve zpracování;Processing;
WAITDONE;0;1;1;10;Čeká na dokončení zpracování;Waiting for the completion of processing;
WAITMATURE;0;1;1;11;Čeká na datum splatnosti;Waiting for maturity date;
WAITFUNDS;0;1;1;12;Čeká na dostatečné krytí na účtu;Waiting for funds;
WAITEFFECT;0;1;1;13;Čeká na datum účinnosti;Waiting for the effective date;
ACCOK;0;1;1;18;Provedeno;Accomplished;
ACCOK2;0;1;1;14;Transakce přijata do AMOS;Transaction submitted for processing in AMOS;
CANCELED;1;1;1;17;Zrušena;Canceled;
WAITAUTH;0;1;1;15;Čeká na schválení v bance;Waiting for bank authentization;
REQESTED_CANCEL;0;1;1;16;Požadované zrušení;Cancel requested;
WAITING_FOR_OFFLINE_PROCESSING;1;1;1;5;Ve zpracování;Processing;
PROCESSING;1;1;1;5;Ve zpracování;Processing;